image_name,fracture_fracton,PnS2_sum,PnP3H_sum,PnP3V_sum,PnP4_sum,PnP6V_sum,PnL_sum,FnS2_sum,FnP3H_sum,FnP3V_sum,FnP4_sum,FnP6V_sum,FnL_sum
CS_5057_5_B_41_1_1,0.0989,1.0333,0.1891,0.1843,0.227,0.1493,0.5192,6.1092,1.3512,1.5624,2.2566,1.5136,5.9497
CS_5057_5_B_41_2_1,0.0806,0.9125,0.1543,0.1456,0.1945,0.1221,0.4687,7.9232,1.6881,1.5784,2.3903,1.5199,7.6045
CS_5057_5_B_41_3_1,0.1137,1.3957,0.3014,0.2985,0.3463,0.2111,0.6218,7.4428,1.9686,1.5198,3.0414,1.8628,7.0602
CS_5057_5_B_41_4_1,0.079,0.6506,0.1309,0.1316,0.1549,0.1078,0.2996,4.6531,1.3317,1.4779,1.9655,1.3646,4.4511
CS_5057_5_B_42_1_1,0.0954,0.8576,0.1841,0.1824,0.2218,0.1503,0.4459,4.6601,1.6373,1.5569,2.2376,1.5813,4.4409
CS_5057_5_B_42_2_1,0.0566,0.4602,0.1024,0.1002,0.1273,0.0882,0.2762,5.6116,1.7175,1.6337,2.2562,1.5626,5.4218
CS_5057_5_B_42_3_1,0.0947,0.9064,0.1854,0.1768,0.2057,0.1368,0.3952,5.3491,1.623,1.6001,2.1524,1.4504,5.0928
CS_5057_5_B_42_4_1,0.0576,0.5177,0.107,0.1105,0.142,0.0972,0.334,6.4826,1.8237,1.6341,2.4749,1.6937,6.3054
CS_5057_5_B_43_1_1,0.1442,1.6649,0.346,0.3456,0.3665,0.2242,0.5895,5.0644,1.4399,1.3716,2.4155,1.5559,4.6895
CS_5057_5_B_43_2_1,0.1298,1.4056,0.2883,0.2736,0.3271,0.2152,0.6784,4.9837,1.4084,1.1659,2.394,1.6557,4.8509
CS_5057_5_B_43_3_1,0.0984,0.9221,0.2004,0.19,0.2275,0.1557,0.459,4.9304,1.3903,1.4659,2.3065,1.5882,4.8009
